,AXP
2016-10-27,62.86349868774414
2016-10-28,62.41264724731445
2016-10-31,62.384483337402344
2016-11-01,62.22479629516602
2016-11-02,61.47340774536133
2016-11-03,61.3607063293457
2016-11-04,61.52978134155274
2016-11-07,62.92924499511719
2016-11-08,62.99497985839844
2016-11-09,64.56351470947266
2016-11-10,65.85028076171875
2016-11-11,66.21659088134766
2016-11-14,68.01994323730469
2016-11-15,68.06690216064453
2016-11-16,67.32489776611328
2016-11-17,67.41883087158203
2016-11-18,66.68620300292969
2016-11-21,67.19341278076172
2016-11-22,67.36245727539061
2016-11-23,68.45197296142578
2016-11-25,68.43321228027344
2016-11-28,67.74756622314453
2016-11-29,67.14643096923828
2016-11-30,67.66302490234375
2016-12-01,68.12326049804689
2016-12-02,67.49395751953125
2016-12-05,67.65362548828125
2016-12-06,67.91661071777344
2016-12-07,69.77632904052734
2016-12-08,70.35866546630861
2016-12-09,70.22713470458984
2016-12-12,69.10945129394531
2016-12-13,69.35364532470703
2016-12-14,69.56969451904297
2016-12-15,70.38682556152344
2016-12-16,70.44318389892578
2016-12-19,70.02053833007811
2016-12-20,70.4995346069336
2016-12-21,70.74373626708984
2016-12-22,70.04869842529297
2016-12-23,70.41499328613281
2016-12-27,70.42440795898438
2016-12-28,69.85145568847656
2016-12-29,69.42880249023439
2016-12-30,69.57908630371094
2017-01-03,70.77191162109375
2017-01-04,71.9321060180664
2017-01-05,71.04545593261719
2017-01-06,71.18694305419922
2017-01-09,71.55481719970703
2017-01-10,72.29997253417969
2017-01-11,72.54521942138672
2017-01-12,72.51692199707031
2017-01-13,72.27168273925781
2017-01-17,72.25282287597656
2017-01-18,73.09229278564453
2017-01-19,72.33769226074219
2017-01-20,71.8755111694336
2017-01-23,71.65857696533203
2017-01-24,73.03571319580078
2017-01-25,72.5263442993164
2017-01-26,72.56407928466797
2017-01-27,72.48863220214844
2017-01-30,72.89422607421875
2017-01-31,72.0452880859375
2017-02-01,72.40372467041016
2017-02-02,72.16793060302734
2017-02-03,73.61109924316406
2017-02-06,73.4035873413086
2017-02-07,73.30924987792969
2017-02-08,73.38470458984375
2017-02-09,73.7431411743164
2017-02-10,74.02611541748047
2017-02-13,74.43171691894531
2017-02-14,74.90335083007812
2017-02-15,75.08255004882812
2017-02-16,74.99767303466797
2017-02-17,75.18631744384766
2017-02-21,75.43157958984375
2017-02-22,75.32780456542969
2017-02-23,75.50701904296875
2017-02-24,75.23348999023438
2017-02-27,75.62020111083984
2017-02-28,75.51644897460938
2017-03-01,77.27088928222656
2017-03-02,75.55416107177734
2017-03-03,75.3466567993164
2017-03-06,74.98823547363281
2017-03-07,75.063720703125
2017-03-08,74.55435943603516
2017-03-09,74.79959106445312
2017-03-10,74.87503814697266
2017-03-13,74.71469116210938
2017-03-14,75.16746520996094
2017-03-15,74.73356628417969
2017-03-16,75.2428970336914
2017-03-17,74.75241088867188
2017-03-20,74.3751220703125
2017-03-21,73.13003540039062
2017-03-22,73.2620849609375
2017-03-23,73.42243194580078
2017-03-24,73.76201629638672
2017-03-27,73.19605255126953
2017-03-28,74.17703247070312
2017-03-29,73.80916595458984
2017-03-30,74.71469116210938
2017-03-31,74.6203842163086
2017-04-03,74.12989044189453
2017-04-04,73.81859588623047
2017-04-05,73.64812469482422
2017-04-06,73.79966735839844
2017-04-07,73.6575927734375
2017-04-10,73.39240264892578
2017-04-11,73.17456817626953
2017-04-12,72.62522888183594
2017-04-13,71.79176330566406
2017-04-17,72.61576843261719
2017-04-18,71.78230285644531
2017-04-19,71.55500030517578
2017-04-20,75.78861236572266
2017-04-21,75.3813705444336
2017-04-24,76.19586944580078
2017-04-25,76.36634826660156
2017-04-26,76.26216888427734
2017-04-27,76.08222961425781
2017-04-28,75.05934143066406
2017-05-01,75.0404052734375
2017-05-02,75.33399963378906
2017-05-03,74.66154479980469
2017-05-04,74.18798065185547
2017-05-05,74.17850494384766
2017-05-08,74.02696228027344
2017-05-09,74.29217529296875
2017-05-10,74.49105072021484
2017-05-11,73.79966735839844
2017-05-12,73.39240264892578
2017-05-15,74.18798065185547
2017-05-16,73.99856567382812
2017-05-17,72.33162689208984
2017-05-18,72.34109497070312
2017-05-19,72.7388916015625
2017-05-22,72.90938568115234
2017-05-23,73.11773681640625
2017-05-24,73.04197692871094
2017-05-25,73.34506225585938
2017-05-26,73.36399841308594
2017-05-30,73.01354217529297
2017-05-31,72.8714828491211
2017-06-01,74.140625
2017-06-02,74.33950805664062
2017-06-05,74.79415130615234
2017-06-06,74.68048095703125
2017-06-07,75.58972930908203
2017-06-08,75.72232818603516
2017-06-09,76.06328582763672
2017-06-12,75.9306869506836
2017-06-13,76.32847595214844
2017-06-14,76.56524658203125
2017-06-15,76.43265533447266
2017-06-16,77.14299011230469
2017-06-19,77.55026245117188
2017-06-20,78.14694213867188
2017-06-21,77.86280822753906
2017-06-22,77.90069580078125
2017-06-23,77.8722915649414
2017-06-26,78.57315826416016
2017-06-27,78.68681335449219
2017-06-28,79.52973937988281
2017-06-29,79.20773315429688
2017-06-30,79.78546905517578
2017-07-03,80.5999984741211
2017-07-05,80.7045669555664
2017-07-06,79.61126708984375
